Date,Adj Close,Close,High,Low,Open,Volume,Name
2014-01-02,85.41127014160156,107.8000030517578,109.0199966430664,107.13999938964844,108.83999633789062,226242,HUBB
2014-01-03,84.88833618164062,107.13999938964844,108.47000122070312,106.62000274658205,108.29000091552734,294683,HUBB
2014-01-06,84.80120849609375,107.02999877929688,107.76000213623048,106.47000122070312,107.76000213623048,161453,HUBB
2014-01-07,86.12432861328125,108.6999969482422,108.8000030517578,107.0999984741211,107.0999984741211,206623,HUBB
2014-01-08,86.71066284179688,109.44000244140624,109.6999969482422,107.9800033569336,108.86000061035156,428312,HUBB
2014-01-09,91.93199920654295,116.02999877929688,116.2699966430664,112.56999969482422,112.87000274658205,902028,HUBB
2014-01-10,92.62129974365234,116.9000015258789,117.16999816894533,115.7300033569336,115.7300033569336,463542,HUBB
2014-01-13,92.26475524902344,116.4499969482422,117.16000366210938,116.06009674072266,116.68000030517578,794016,HUBB
2014-01-14,92.35984802246094,116.56999969482422,117.16999816894533,115.61000061035156,116.63999938964844,363868,HUBB
2014-01-15,94.47532653808594,119.23999786376952,119.70999908447266,116.26200103759766,117.20999908447266,475763,HUBB
2014-01-16,94.4515609741211,119.20999908447266,119.68000030517578,118.56999969482422,118.83999633789062,348962,HUBB
2014-01-17,94.1108627319336,118.77999877929688,119.37000274658205,118.2300033569336,119.37000274658205,108091,HUBB
2014-01-21,94.4832534790039,119.25,119.80999755859376,118.0500030517578,119.80999755859376,165914,HUBB
2014-01-22,94.68923950195312,119.51000213623048,119.51000213623048,117.52999877929688,119.3499984741211,281305,HUBB
2014-01-23,93.5245590209961,118.04000091552734,119.06999969482422,117.0801010131836,119.05999755859376,167131,HUBB
2014-01-24,91.18718719482422,115.08999633789062,117.63999938964844,114.56999969482422,117.63999938964844,224897,HUBB
2014-01-27,89.75313568115234,113.27999877929688,115.81999969482422,111.95999908447266,115.5999984741211,564943,HUBB
2014-01-28,91.90821075439452,116.0,116.11000061035156,113.08999633789062,113.25,436081,HUBB
2014-01-29,91.0683822631836,114.94000244140624,117.5199966430664,114.11499786376952,115.31999969482422,315539,HUBB
2014-01-30,92.96199798583984,117.33000183105467,117.33000183105467,115.43499755859376,116.41999816894533,283485,HUBB
2014-01-31,92.48662567138672,116.7300033569336,118.56999969482422,115.72000122070312,115.75,376781,HUBB
2014-02-03,89.21435546875,112.5999984741211,116.16000366210938,112.48999786376952,116.08000183105467,627969,HUBB
2014-02-04,89.6263656616211,113.12000274658205,115.19000244140624,112.47000122070312,113.5999984741211,482232,HUBB
2014-02-05,90.72767639160156,114.51000213623048,115.0999984741211,113.02999877929688,113.20999908447266,299520,HUBB
2014-02-06,92.60545349121094,116.87999725341795,117.4000015258789,114.22000122070312,114.55999755859376,258622,HUBB
2014-02-07,93.7860107421875,118.37000274658205,119.13999938964844,116.51000213623048,117.66000366210938,237455,HUBB
2014-02-10,93.49285888671876,118.0,119.0979995727539,116.77999877929688,117.93000030517578,196935,HUBB
2014-02-11,94.72887420654295,119.55999755859376,119.8000030517578,117.70999908447266,118.37000274658205,260730,HUBB
2014-02-12,94.85562896728516,119.72000122070312,120.62999725341795,118.76000213623048,119.98999786376952,246579,HUBB
2014-02-13,95.25180053710938,120.22000122070312,120.3499984741211,118.6500015258789,118.6500015258789,178205,HUBB
2014-02-14,95.70339965820312,120.79000091552734,121.05999755859376,119.58000183105467,119.95999908447266,123555,HUBB
2014-02-18,95.48949432373048,120.5199966430664,122.06999969482422,119.54000091552734,121.23999786376952,177763,HUBB
2014-02-19,93.4453125,117.94000244140624,120.63999938964844,117.5999984741211,119.77999877929688,286884,HUBB
