,Ticker,Name,Industry,SubIndustry,IPODate
427,STE,Steris,Health Care,Health Care Equipment,2019-12-23
428,SYK,Stryker Corporation,Health Care,Health Care Equipment,2000-12-12
429,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",2024-03-18
430,SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18
431,SNPS,Synopsys,Information Technology,Application Software,2017-03-16
432,SYY,Sysco,Consumer Staples,Food Distributors,1986-12-31
433,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15
434,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,2019-07-29
435,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19
436,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","2004-09-01
"
437,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,2022-10-12
438,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,1976-12-31
439,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2011-10-17
440,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,2020-06-22
441,TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18
442,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,2020-09-21
443,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2020-12-21
444,TXN,Texas Instruments,Information Technology,Semiconductors,2001-03-12
445,TXT,Textron,Industrials,Aerospace & Defense,1978-12-31
446,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2004-08-03
447,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1985-09-30
448,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,2014-01-24
449,TT,Trane Technologies,Industrials,Building Products,2010-11-17
450,TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03
451,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,2002-08-21
452,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,2021-01-21
453,TFC,Truist,Financials,Regional Banks,1997-12-04
454,TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22
455,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2005-08-10
456,USB,U.S. Bank,Financials,Diversified Banks,1999-11-01
457,UBER,Uber,Industrials,Passenger Ground Transportation,2023-12-18
458,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,2016-03-07
459,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2016-04-18
460,UNP,Union Pacific Corporation,Industrials,Rail Transportation,1957-03-04
461,UAL,United Airlines Holdings,Industrials,Passenger Airlines,2015-09-03
462,UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22
463,URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20
464,UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01
465,UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20
466,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2002-12-20
467,VTR,Ventas,Real Estate,Health Care REITs,2009-03-04
468,VLTO,Veralto,Industrials,Environmental & Facilities Services,2023-10-02
469,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01
470,VRSK,Verisk,Industrials,Research & Consulting Services,2015-10-08
471,VZ,Verizon,Communication Services,Integrated Telecommunication Services,1983-11-30
472,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013-09-23
473,VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23
474,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2022-06-08
475,V,Visa Inc.,Financials,Transaction & Payment Processing Services,2009-12-21
476,VST,Vistra,Utilities,Electric Utilities,2024-05-08
477,VMC,Vulcan Materials Company,Materials,Construction Materials,1999-06-30
478,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05
479,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,1981-06-30
480,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2019-02-27
481,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31
482,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1982-08-31
483,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,1976-06-30
484,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,2022-04-11
485,WM,Waste Management,Industrials,Environmental & Facilities Services,1998-08-31
486,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,2002-01-02
487,WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31
488,WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30
489,WELL,Welltower,Real Estate,Health Care REITs,2009-01-30
490,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22
491,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01
492,WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,2015-06-25
493,WY,Weyerhaeuser,Real Estate,Timber REITs,1979-10-01
494,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31
495,WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05
496,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14
497,XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04
498,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2011-11-01
499,YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06
500,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23
501,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07
502,ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21
