,Ticker,Name,Industry,SubIndustry,IPODate
204,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,2016-07-01
205,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2019-03-04
206,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,2019-03-04
207,BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,1998-04-30
208,FCX,Freeport-McMoRan,Materials,Copper,2011-07-01
209,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012-12-12
210,IT,Gartner,Information Technology,IT Consulting & Other Services,2017-04-05
211,GE,GE Aerospace,Industrials,Aerospace & Defense,1957-03-04
212,GEHC,GE HealthCare,Health Care,Health Care Equipment,2023-01-04
213,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,2024-04-02
214,GEN,Gen Digital,Information Technology,Systems Software,2003-03-25
215,GNRC,Generac,Industrials,Electrical Components & Equipment,2021-03-22
216,GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04
217,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1957-03-04
218,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06
219,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,1973-12-31
220,GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01
221,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2016-04-25
222,GL,Globe Life,Financials,Life & Health Insurance,1989-04-30
223,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002-07-22
224,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957-03-04
225,HIG,Hartford (The),Financials,Property & Casualty Insurance,1957-03-04
226,HAS,Hasbro,Consumer Discretionary,Leisure Products,1984-09-30
227,HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27
228,DOC,Healthpeak,Real Estate,Health Care REITs,2008-03-31
229,HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17
230,HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,1957-03-04
231,HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31
232,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02
233,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19
234,HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30
235,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1988-03-31
236,HON,Honeywell,Industrials,Industrial Conglomerates,1957-03-04
237,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009-03-04
238,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20
239,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2016-10-21
240,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31
241,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,2023-10-18
242,HUM,Humana,Health Care,Managed Health Care,2012-12-10
243,HBAN,Huntington Bancshares,Financials,Regional Banks,1997-08-28
244,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03
245,IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04
246,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2019-08-09
247,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05
248,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,1986-02-28
249,ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19
250,INCY,Incyte,Health Care,Biotechnology,2017-02-28
251,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,2020-03-03
252,PODD,Insulet,Health Care,Health Care Equipment,2023-03-15
253,INTC,Intel,Information Technology,Semiconductors,1976-12-31
254,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26
255,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31
256,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1957-03-04
257,IPG,Interpublic Group of Companies (The),Communication Services,Advertising,1992-10-01
258,INTU,Intuit,Information Technology,Application Software,2000-12-05
259,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02
260,IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21
261,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2022-09-19
262,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29
263,IRM,Iron Mountain,Real Estate,Other Specialized REITs,2009-01-06
264,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,2015-07-01
265,JBL,Jabil,Information Technology,Electronic Manufacturing Services,2023-12-18
266,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2018-11-13
267,J,Jacobs Solutions,Industrials,Construction & Engineering,2007-10-26
268,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30
269,JCI,Johnson Controls,Industrials,Building Products,2010-08-27
270,JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30
271,JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02
272,K,Kellanova,Consumer Staples,Packaged Foods & Meats,1989-09-11
273,KVUE,Kenvue,Consumer Staples,Personal Care Products,2023-08-25
274,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2022-06-21
275,KEY,KeyCorp,Financials,Regional Banks,1994-03-01
276,KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2018-11-06
277,KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04
278,KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04
279,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25
280,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,1997-09-30
281,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06
282,KR,Kroger,Consumer Staples,Food Retail,1957-03-04
283,LHX,L3Harris,Industrials,Aerospace & Defense,2008-09-22
284,LH,LabCorp,Health Care,Health Care Services,2004-11-01
285,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2012-06-29
286,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03
287,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03
288,LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09
289,LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04
290,LIN,Linde plc,Materials,Industrial Gases,1992-07-01
291,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23
292,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23
293,LMT,Lockheed Martin,Industrials,Aerospace & Defense,1957-03-04
294,L,Loews Corporation,Financials,Multi-line Insurance,1995-05-31
295,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29
296,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2023-10-18
297,LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05
298,MTB,M&T Bank,Financials,Regional Banks,2004-02-23
299,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1957-03-04
300,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01
301,MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01
302,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-05-29
303,MMC,Marsh McLennan,Financials,Insurance Brokers,1987-08-31
304,MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02
305,MAS,Masco,Industrials,Building Products,1981-06-30
306,MA,Mastercard,Financials,Transaction & Payment Processing Services,2008-07-18
307,MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20
308,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20
309,MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30
310,MCK,McKesson,Health Care,Health Care Distributors,1999-01-13
311,MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31
312,MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04
313,META,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23
314,MET,MetLife,Financials,Life & Health Insurance,2000-12-11
315,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06
316,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017-07-26
317,MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07
318,MU,Micron Technology,Information Technology,Semiconductors,1994-09-27
319,MSFT,Microsoft,Information Technology,Systems Software,1994-06-01
320,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,2016-12-02
321,MRNA,Moderna,Health Care,Biotechnology,2021-07-21
322,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23
323,MOH,Molina Healthcare,Health Care,Managed Health Care,2022-03-02
324,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30
325,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02
326,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12
327,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2012-06-28
328,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1998-07-01
329,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1993-07-29
330,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,2011-09-26
331,MSI,Motorola Solutions,Information Technology,Communications Equipment,1957-03-04
332,MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04
333,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22
334,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25
335,NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20
336,NEM,Newmont,Materials,Gold,1969-06-30
337,NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01
338,NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18
339,NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30
340,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30
341,NI,NiSource,Utilities,Multi-Utilities,2000-11-02
